SampleID	nsample	group	individual	year	month_year	tag	sex	season	individual_month	age_months
101_Goz_0518_18S	101	F	Gozo	2018	05_May18	TATI-a-378	M	dry	Gozo_05_May18	103
102_May_0518_18S	102	F	Mayaguana	2018	05_May18	TATI-a-379	F	dry	Mayaguana_05_May18	67
103_Cai_0518_18S	103	F	Caicos	2018	05_May18	TATI-a-380	M	dry	Caicos_05_May18	43
104_Luc_0518_18S	104	F	Lucia	2018	05_May18	TATI-a-381	F	dry	Lucia_05_May18	223.6527778
105_Bon_0518_18S	105	F	Bonacca	2018	05_May18	TATI-a-382	F	dry	Bonacca_05_May18	7.369565217
106_Tor_0518_18S	106	F	Tortuga	2018	05_May18	TATI-a-383	F	dry	Tortuga_05_May18	31
107_Par_0518_18S	107_143_173	A	Paros	2018	05_May18	TATI_a_1530	M	dry	Paros_05_May18	67
108_Lef_0518_18S	108_142_171	A	Lefkada	2018	05_May18	TATI_a_1477	F	dry	Lefkada_05_May18	53.23214286
109_Tha_0518_18S	109_140_174	A	Thassos	2018	05_May18	TATI_a_1562	M	dry	Thassos_05_May18	18.4
110_Amo_0518_18S	110_144	A	Amorgos	2018	05_May18	TATI_a_1332	M	dry	Amorgos_05_May18	79
111_Oma_0518_18S	111_167_181	B	Oman	2018	05_May18	TATI_a_1508	M	dry	Oman_05_May18	55.20095694
112_Bor_0518_18S	112_126_180	B	Bora	2018	05_May18	TATI_a_1361	F	dry	Bora_05_May18	139.0506912
114_Col_0518_18S	114_133	J	Colanta	2018	05_May18	TATI_a_1384	F	dry	Colanta_05_May18	102.7777778
115_Pin_0518_18S	115	F	Pinos	2018	05_May18	TATI-a-384	M	dry	Pinos_05_May18	31
117_Tor_0518_18S	117	F	Tortuga	2018	05_May18	TATI-a-385	F	dry	Tortuga_05_May18	31
118_Bon_0518_18S	118	F	Bonacca	2018	05_May18	TATI-a-386	F	dry	Bonacca_05_May18	7.369565217
119_Goz_0518_18S	119	F	Gozo	2018	05_May18	TATI-a-387	M	dry	Gozo_05_May18	103
120_May_0518_18S	120	F	Mayaguana	2018	05_May18	TATI-a-388	F	dry	Mayaguana_05_May18	67
121_Luc_0518_18S	121	F	Lucia	2018	05_May18	TATI-a-389	F	dry	Lucia_05_May18	223.6527778
124_Ban_0518_18S	124_148_162	B	Bangladesh	2018	05_May18	TATI_a_1352	M	dry	Bangladesh_05_May18	139
127_Rin_0618_18S	127_146_169	B	Rinca	2018	06_Jun18	TATI_a_1539	F	dry	Rinca_06_Jun18	66.56862745
128_Bur_0518_18S	128_165_182	B	Buru	2018	05_May18	TATI_a_1372	M	dry	Buru_05_May18	79
136_Bah_0518_18S	136_176_183	J	Bahrain	2018	05_May18	TATI_a_1344	M	dry	Bahrain_05_May18	7.06779661
139_Isa_0518_18S	139_170_177	A	Isabella	2018	05_May18	TATI_a_1393	F	dry	Isabella_05_May18	67
141_Luz_0518_18S	141_172_178	A	Luzon	2018	05_May18	TATI_a_1486	M	dry	Luzon_05_May18	187
145_Til_0518_18S	145_149_163_175	B	Tilos	2018	05_May18	TATI_a_1570	M	dry	Tilos_05_May18	67
158_Cai_0518_18S	158	F	Caicos	2018	05_May18	TATI-a-390	M	dry	Caicos_05_May18	43
159_May_0518_18S	159	F	Mayaguana	2018	05_May18	TATI-a-391	F	dry	Mayaguana_05_May18	67
160_Goz_0518_18S	160	F	Gozo	2018	05_May18	TATI-a-392	M	dry	Gozo_05_May18	103
161_Pin_0518_18S	161	F	Pinos	2018	05_May18	TATI-a-393	M	dry	Pinos_05_May18	31
180_Bor_0518_18S	180	B	Bora	2018	05_May18	TATI_a_15	F	dry	Bora_05_May18	139.0506912
184_Bon_0518_18S	184	F	Bonacca	2018	05_May18	TATI-a-394	F	dry	Bonacca_05_May18	7.369565217
185_Luc_0518_18S	185	F	Lucia	2018	05_May18	TATI-a-395	F	dry	Lucia_05_May18	223.6527778
186_Pin_0518_18S	186	F	Pinos	2018	05_May18	TATI-a-396	M	dry	Pinos_05_May18	31
187_Tor_0518_18S	187	F	Tortuga	2018	05_May18	TATI-a-397	F	dry	Tortuga_05_May18	31
189_Bor_0618_18S	189_233_248	B	Bora	2018	06_Jun18	TATI_a_1362	F	dry	Bora_06_Jun18	140
191_Jac_0618_18S	191_234_255	B	Jaco	2018	06_Jun18	TATI_a_1402	M	dry	Jaco_06_Jun18	20
192_Ban_0618_18S	192_241_252	B	Bangladesh	2018	06_Jun18	TATI_a_1353	M	dry	Bangladesh_06_Jun18	140
193_Alo_0618_18S	193_237_249	B	Aloha	2018	06_Jun18	TATI_a_1323	F	dry	Aloha_06_Jun18	79.58035714
194_Bur_0618_18S	194_236_254	B	Buru	2018	06_Jun18	TATI_a_1373	M	dry	Buru_06_Jun18	80
195_Til_0618_18S	195_235_250	B	Tilos	2018	06_Jun18	TATI_a_1571	M	dry	Tilos_06_Jun18	68
196_Oma_0618_18S	196_232_239	B	Oman	2018	06_Jun18	TATI_a_1509	M	dry	Oman_06_Jun18	56
