ntab	code	nfocal	day	month	year	individual	group	length_focalsec	length_focalh
1	L66	66	3	7	2018	Adonara	B	1814	0.503888889
2	Ti77	77	18	7	2018	Adonara	B	1923	0.534166667
3	Ti95	95	29	8	2018	Adonara	B	1834	0.509444444
2	Ti107	107	18	9	2018	Adonara	B	1793	0.498055556
3	Ti235	235	5	11	2018	Adonara	B	1810	0.502777778
1	P1	1	30	5	2018	Colanta	J	1920	0.533333333
1	M2	2	8	5	2018	Bahrain	J	1815	0.504166667
1	P2	2	30	5	2018	Afganistan	J	1833	0.509166667
4	Ti182	182	30	10	2018	Adonara	B	1815	0.504166667
1	M3	3	8	5	2018	Colanta	J	1814	0.503888889
2	Ti85	85	19	7	2018	Adonara	B	1966	0.546111111
1	P3	3	30	5	2018	Kasachstan	J	1831	0.508611111
1	P4	4	30	5	2018	Mongolei	J	1807	0.501944444
1	L57	57	20	6	2018	Adonara	B	1981	0.550277778
1	M4	4	8	5	2018	Kuwait	J	1835	0.509722222
3	A66	66	27	9	2018	Adonara	B	1789	0.496944444
1	M5	5	8	5	2018	Taji	J	1817	0.504722222
1	M6	6	8	5	2018	Armenia	J	1806	0.501666667
1	M7	7	8	5	2018	Mayaguana	F	1853	0.514722222
1	Ta70	70	19	6	2018	Adonara	B	1831	0.508611111
2	Ta111	111	15	7	2018	Adonara	B	1824	0.506666667
1	M8	8	8	5	2018	Pinos	F	1819	0.505277778
4	Ti163	163	24	9	2018	Adonara	B	1802	0.500555556
1	Ta94	94	4	7	2018	Adonara	B	1810	0.502777778
2	Ta121	121	24	7	2018	Adonara	B	1802	0.500555556
3	J25	25	19	9	2018	Adonara	B	1807	0.501944444
1	Ta84	84	1	7	2018	Adonara	B	1831	0.508611111
2	Ta118	118	16	7	2018	Adonara	B	1822	0.506111111
3	J12	12	10	9	2018	Adonara	B	1794	0.498333333
1	M10	10	8	5	2018	Caicos	F	1823	0.506388889
1	P5	5	30	5	2018	Pakistan	J	1846	0.512777778
1	M11	11	9	5	2018	Paros	A	1810	0.502777778
1	M12	12	9	5	2018	Lefkada	A	1810	0.502777778
1	P6	6	30	5	2018	Syria	J	1849	0.513611111
3	A39	39	16	9	2018	Afganistan	J	1789	0.496944444
1	P7	7	30	5	2018	Latalata	B	1832	0.508888889
2	Ta163	163	17	8	2018	Afganistan	J	1816	0.504444444
1	M13	13	9	5	2018	Luzon	A	1829	0.508055556
1	M14	14	9	5	2018	Amorgos	A	1811	0.503055556
1	M15	15	9	5	2018	Isabella	A	1810	0.502777778
3	Ti118	118	19	9	2018	Afganistan	J	1796	0.498888889
1	P8	8	30	5	2018	Jaco	B	1831	0.508611111
1	L78	78	6	7	2018	Afganistan	J	1832	0.508888889
3	A23	23	11	9	2018	Afganistan	J	1770	0.491666667
1	M17	17	9	5	2018	Bora	B	1815	0.504166667
1	M18	18	9	5	2018	Rinca	B	1830	0.508333333
3	J54	54	13	9	2018	Afganistan	J	1823	0.506388889
4	Ti195	195	31	10	2018	Afganistan	J	1818	0.505
1	M20	20	9	5	2018	Oman	B	1808	0.502222222
3	Ti170	170	9	10	2018	Afganistan	J	1852	0.514444444
1	Ta17	17	12	5	2018	Afganistan	J	1840	0.511111111
1	M21	21	10	5	2018	Pinos	F	1809	0.5025
3	A49	49	18	9	2018	Afganistan	J	1796	0.498888889
1	Ta21	21	15	5	2018	Afganistan	J	1843	0.511944444
2	Ta79	79	29	6	2018	Afganistan	J	1809	0.5025
3	Ta173	173	23	8	2018	Afganistan	J	1840	0.511111111
1	P9	9	30	5	2018	Tilos	B	1834	0.509444444
1	Ta5	5	3	5	2018	Afganistan	J	1838	0.510555556
2	Ta52	52	2	6	2018	Afganistan	J	1828	0.507777778
3	A28	28	12	9	2018	Afganistan	J	1753	0.486944444
4	J46	46	25	9	2018	Afganistan	J	1815	0.504166667
1	P10	10	30	5	2018	Bora	B	1849	0.513611111
2	Ta100	100	11	7	2018	Afganistan	J	1802	0.500555556
3	Ti101	101	29	8	2018	Afganistan	J	1843	0.511944444
4	A71	71	28	9	2018	Afganistan	J	1803	0.500833333
1	M22	22	10	5	2018	Tortuga	F	1806	0.501666667
1	P11	11	31	5	2018	Thassos	A	1832	0.508888889
1	P12	12	31	5	2018	Luzon	A	1836	0.51
3	A53	53	19	9	2018	Aloha	B	1800	0.5
2	P13	13	31	5	2018	Isabella	A	1830	0.508333333
1	Ti36	36	18	5	2018	Aloha	B	1848	0.513333333
2	Ti78	78	18	7	2018	Aloha	B	1863	0.5175
3	Ti96	96	29	8	2018	Aloha	B	1933	0.536944444
1	Ti13	13	2	5	2018	Aloha	B	1912	0.531111111
3	Ti149	149	23	9	2018	Aloha	B	1764	0.49
1	L14	14	29	5	2018	Aloha	B	1844	0.512222222
2	L36	36	14	6	2018	Aloha	B	1818	0.505
1	M24	24	10	5	2018	Gozo	F	1823	0.506388889
4	Ti226	226	4	11	2018	Aloha	B	1812	0.503333333
3	Ti110	110	18	9	2018	Aloha	B	1789	0.496944444
1	P14	14	31	5	2018	Paros	A	1816	0.504444444
1	M27	27	10	5	2018	Mongolei	J	1816	0.504444444
2	P15	15	31	5	2018	Lefkada	A	1840	0.511111111
1	Ta30	30	21	5	2018	Aloha	B	1802	0.500555556
2	Ti42	42	12	6	2018	Aloha	B	1821	0.505833333
3	Ti91	91	28	8	2018	Aloha	B	1866	0.518333333
4	J48	48	26	9	2018	Aloha	B	1801	0.500277778
1	Ta71	71	19	6	2018	Aloha	B	1832	0.508888889
1	M28	28	10	5	2018	Kasachstan	J	1804	0.501111111
3	A8	8	3	9	2018	Aloha	B	1777	0.493611111
4	J37	37	22	9	2018	Aloha	B	1810	0.502777778
1	Ta45	45	31	5	2018	Aloha	B	1888	0.524444444
2	Ta103	103	12	7	2018	Aloha	B	1809	0.5025
1	P16	16	31	5	2018	Bonacca	F	1832	0.508888889
4	J6	6	7	9	2018	Aloha	B	1860	0.516666667
1	Ti10	10	1	5	2018	Aloha	B	1924	0.534444444
2	Ta85	85	1	7	2018	Aloha	B	1838	0.510555556
3	J19	19	12	9	2018	Aloha	B	1800	0.5
1	P17	17	31	5	2018	Mayaguana	F	1840	0.511111111
1	Ti65	65	20	6	2018	Amorgos	A	1773	0.4925
2	P18	18	31	5	2018	Caicos	F	1828	0.507777778
1	M29	29	10	5	2018	Syria	J	1839	0.510833333
1	Ti62	62	19	6	2018	Amorgos	A	1824	0.506666667
1	M31	31	11	5	2018	Tilos	B	1813	0.503611111
1	M32	32	11	5	2018	Jaco	B	1807	0.501944444
1	Ti21	21	3	5	2018	Armenia	J	1893	0.525833333
1	M33	33	11	5	2018	Oman	B	1808	0.502222222
3	Ti191	191	31	10	2018	Armenia	J	1816	0.504444444
2	P19	19	31	5	2018	Lucia	F	1851	0.514166667
1	M34	34	11	5	2018	Rinca	B	1807	0.501944444
3	A21	21	11	9	2018	Armenia	J	1843	0.511944444
1	L77	77	6	7	2018	Armenia	J	1822	0.506111111
1	M35	35	11	5	2018	Aloha	B	1816	0.504444444
1	P20	20	1	6	2018	Tortuga	F	1834	0.509444444
1	M36	36	11	5	2018	Bora	B	1830	0.508333333
1	M37	37	11	5	2018	Thassos	A	1821	0.505833333
1	P21	21	1	6	2018	Bonacca	F	1841	0.511388889
1	P22	22	1	6	2018	Lucia	F	1847	0.513055556
1	M38	38	11	5	2018	Luzon	A	1801	0.500277778
3	Ti169	169	9	10	2018	Armenia	J	1912	0.531111111
1	M39	39	11	5	2018	Amorgos	A	1823	0.506388889
2	Ti59	59	19	6	2018	Armenia	J	1816	0.504444444
1	P23	23	1	6	2018	Caicos	F	1842	0.511666667
4	A87	87	1	10	2018	Armenia	J	1800	0.5
1	Ta78	78	29	6	2018	Armenia	J	1863	0.5175
2	Ta97	97	11	7	2018	Armenia	J	1817	0.504722222
1	M41	41	12	5	2018	Cambodia	J	1816	0.504444444
1	Ta47	47	1	6	2018	Armenia	J	1822	0.506111111
2	Ti71	71	20	6	2018	Armenia	J	1846	0.512777778
1	M42	42	12	5	2018	Colanta	J	1811	0.503055556
4	J33	33	21	9	2018	Armenia	J	1811	0.503055556
1	Ta22	22	15	5	2018	Armenia	J	1889	0.524722222
2	Ta88	88	2	7	2018	Armenia	J	1842	0.511666667
